title	context
Magic, Comedy & Cocktails: Four-Handed Illusions	"The most popular comedy event called ""Magic, Comedy & Cocktails: Four-Handed Illusions"" is happening in Boston this weekend at Saturday • 8:00 PM + 1 more and is hosted at ""Hampshire House"" and by ""Four-Handed Illusions"" with the ticket price: Starts at $95.00. Follow this link to learn more: https://www.eventbrite.com/e/magic-comedy-cocktails-four-handed-illusions-tickets-660438398027?aff=ebdssbcategorybrowse"
Saturday July 22 Jackie Flynn  @  Giggles Comedy Club	"The most popular comedy event called ""Saturday July 22 Jackie Flynn  @  Giggles Comedy Club"" is happening in Boston this weekend at Saturday • 8:30 PM and is hosted at ""517 Broadway"" and by ""Giggles Comedy Club"" with the ticket price: Starts at $30.00. Follow this link to learn more: https://www.eventbrite.com/e/saturday-july-22-jackie-flynn-giggles-comedy-club-tickets-638894670157?aff=ebdssbcategorybrowse"
Boston Comedy Club - Downtown!	"The most popular comedy event called ""Boston Comedy Club - Downtown!"" is happening in Boston this weekend at Saturday • 7:30 PM and is hosted at ""Silvertone Bar & Grill"" and by ""Boston Comedy Club"" with the ticket price: Starts at $15.00. Follow this link to learn more: https://www.eventbrite.com/e/boston-comedy-club-downtown-tickets-666223581667?aff=ebdssbcategorybrowse"
Joselito Dapuppet stand up comedy show in Worcester, MA	"The most popular comedy event called ""Joselito Dapuppet stand up comedy show in Worcester, MA"" is happening in Boston this weekend at Saturday • 8:00 PM and is hosted at ""Loft 266"" and by ""puppetwave entertainment"" with the ticket price: Starts at $25.00. Follow this link to learn more: https://www.eventbrite.com/e/joselito-dapuppet-stand-up-comedy-show-in-worcester-ma-tickets-642237699247?aff=ebdssbcategorybrowse"
Saturday Night Trivia at Shipyard Brewpub in Eliot Maine	"The most popular comedy event called ""Saturday Night Trivia at Shipyard Brewpub in Eliot Maine"" is happening in Boston this weekend at Saturday • 7:00 PM and is hosted at ""Shipyard Brew Pub Eliot"" and by ""Game Time Trivia"" with the ticket price: Free. Follow this link to learn more: https://www.eventbrite.com/e/saturday-night-trivia-at-shipyard-brewpub-in-eliot-maine-tickets-440641469497?aff=ebdssbcategorybrowse"
Comedy Night at Priam Vineyards	"The most popular comedy event called ""Comedy Night at Priam Vineyards"" is happening in Boston this weekend at Saturday • 7:00 PM and is hosted at ""Priam Vineyards"" and by ""Comedy Craft Beer"" with the ticket price: Starts at $35.00. Follow this link to learn more: https://www.eventbrite.com/e/comedy-night-at-priam-vineyards-tickets-625346567417?aff=ebdssbcategorybrowse"
Comedy Night at City Steam	"The most popular comedy event called ""Comedy Night at City Steam"" is happening in Boston this weekend at Saturday • 8:00 PM and is hosted at ""City Steam Brewery"" and by ""Comedy Craft Beer"" with the ticket price: Starts at $25.00. Follow this link to learn more: https://www.eventbrite.com/e/comedy-night-at-city-steam-tickets-614289746167?aff=ebdssbcategorybrowse"
VENU AFTER DARK (TE)	"The most popular DJ and dance event called ""VENU AFTER DARK (TE)"" is happening in Boston this weekend at Sunday • 10:00 PM and is hosted at ""Venu Nightclub"" and by ""The Enterprise MA"" with the ticket price: Free. Follow this link to learn more: https://www.eventbrite.com/e/venu-after-dark-te-tickets-650985353717?aff=ebdssbcategorybrowse"
Luau Saturdays at Tiki Rock	"The most popular DJ and dance event called ""Luau Saturdays at Tiki Rock"" is happening in Boston this weekend at Saturday • 9:00 PM and is hosted at ""Tiki Rock"" and by ""Tiki Rock"" with the ticket price: Free. Follow this link to learn more: https://www.eventbrite.com/e/luau-saturdays-at-tiki-rock-tickets-669833308457?aff=ebdssbcategorybrowse"
The Gathering Ft. Where's Nasty + Dj Dymand	"The most popular DJ and dance event called ""The Gathering Ft. Where's Nasty + Dj Dymand"" is happening in Boston this weekend and is hosted at ""Shojo"" and by ""AllYouCanEat LLC"" with the ticket price: Starts at $20.00. Follow this link to learn more: https://www.eventbrite.com/e/the-gathering-ft-wheres-nasty-dj-dymand-tickets-678850739837?aff=ebdssbcategorybrowse"
DJ Modnyy Night @ The Greatest Bar	"The most popular DJ and dance event called ""DJ Modnyy Night @ The Greatest Bar"" is happening in Boston this weekend at Saturday • 8:30 PM and is hosted at ""The Greatest Bar"" and by ""Boston VIP List"" with the ticket price: Starts at $5.00. Follow this link to learn more: https://www.eventbrite.com/e/dj-modnyy-night-the-greatest-bar-tickets-679642096807?aff=ebdssbcategorybrowse"
Back Yawd Jam	"The most popular DJ and dance event called ""Back Yawd Jam"" is happening in Boston this weekend at Saturday • 5:00 PM and is hosted at ""Randolph"" and by ""Zombies ENT"" with the ticket price: Starts at $10.00. Follow this link to learn more: https://www.eventbrite.com/e/back-yawd-jam-tickets-676156481237?aff=ebdssbcategorybrowse"
Birthday boat ride	"The most popular DJ and dance event called ""Birthday boat ride"" is happening in Boston this weekend at Saturday • 8:00 PM and is hosted at ""60 Wharf St"" and by ""Pam and Lionel in association with Brown"" with the ticket price: Starts at $60.00. Follow this link to learn more: https://www.eventbrite.com/e/birthday-boat-ride-tickets-568452596017?aff=ebdssbcategorybrowse"
Boston Day Club Yacht Party - Sunday Sets	"The most popular DJ and dance event called ""Boston Day Club Yacht Party - Sunday Sets"" is happening in Boston this weekend at Sunday • 3:30 PM and is hosted at ""Sir Winston Boston Yacht"" and by ""VIP Nightlife"" with the ticket price: Starts at $20.00. Follow this link to learn more: https://www.eventbrite.com/e/boston-day-club-yacht-party-sunday-sets-tickets-655662844217?aff=ebdssbcategorybrowse"
